BOOKS,AUTHOR,PUBLISHERS,YEAR
The Two Towers,J. R. R. Tolkien,Atlantic Books,1903
The Girl With The Dragon Tattoo,Stieg Larsson,Atlas Press,1999
Catching Fire,Suzanne Collins,ATOM Books,1923
The Return of the King,J. R. R. Tolkien,Atria Publishing Group,2010
Crime and Punishment,Fyodor Dostoevsky,Augsburg Fortress,1995
Ender's Game,Orson Scott Card,Aunt Lute Books,1925
Breaking Dawn,Stephenie Meyer,Austin Macauley Publishers,1948
Catch-22,Joseph Heller,Avon Publications,2013
Memoirs of a Geisha,Arthur Golden,Arihant Publishers,1962
The Lovely Bones,Alice Sebold,B & W Publishing,1943
The Book Thief,Markus Zusak,Baen Books,2006
The Adventures of Huckleberry Finn,Mark Twain,Baker Book House,1902
"The Lion, the Witch and the Wardrobe",C. S. Lewis,1911
Mockingjay,Suzanne Collins,Banner of Truth Trust,1908
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Bantam Books,1950
A Game of Thrones,George R. R. Martin,Bantam Spectra,1902
The Little Prince,Antoine de Saint-Exupéry,Barrie & Jenkins,1949
Of Mice and Men,John Steinbeck,Basic Books,1958
Anna Karenina,Leo Tolstoy,BBC Books,1903
American Gods,Neil Gaiman,Beacon Publishing,1999
Sense and Sensibility,Jane Austen,Belknap Press,2006
"The Golden Compass (His Dark Materials, Book 1)",Philip Pullman,1957
Emma,Jane Austen,Bellevue Literary Press,1909
The Alchemist,Paulo Coelho,Berg Publishers,1975
Great Expectations,Charles Dickens,Berkley Books,1904
Dune,Frank Herbert,Bison Books,1907
The Giver,Lois Lowry,Black Dog Publishing,1923
Frankenstein,Mary Shelley,Black Library,1952
The Picture of Dorian Gray,Oscar Wilde,Black Sparrow Books,2013
The Iliad,Homer,Blackie and Son Limited,1982
The Road,Cormac McCarthy,Blackstaff Press,1985
The Handmaid's Tale,Margaret Atwood,Blackwell Publishing,1909
The Stranger,Albert Camus,Blake Publishing,1999
The Chronicles of Narnia,C. S. Lewis,Bloodaxe Books,1940
A Wrinkle in Time,Madeleine L'Engle,Bloomsbury Publishing Plc,1932
The Grapes of Wrath,John Steinbeck,Blue Ribbon Books,1971
The Scarlet Letter,Nathaniel Hawthorne,Bobbs-Merrill Company,2012
A Tale of Two Cities,Charles Dickens,Bogle-L'Ouverture Publications,1953
Lolita,Vladimir Nabokov,Book League of America,1970
Good Omens,Terry Pratchett,Book Works,1962
The Kite Runner,Khaled Hosseini,Booktrope,1963
The Silmarillion,J. R. R. Tolkien,Borgo Press,1941
Water for Elephants: A Novel,Sara Gruen,Boundless,1906
Moby Dick,Herman Melville,Bowes & Bowes,1991
The Complete Works of William Shakespeare,William Shakespeare,Boydell & Brewer,1959
A Thousand Splendid Suns,Khaled Hosseini,Broadside Lotus Press,1975
Middlesex,Jeffrey Eugenides,Breslov Research Institute,1981
The Girl Who Played With Fire,Stieg Larsson,Brill Publishers,2019
Wicked,Gregory Maguire,Brimstone Press,1925
Eragon,Christopher Paolini,Broadview Press,1906
Dracula,Bram Stoker,Burns & Oates,1939
Hamlet,William Shakespeare,Butterworth-Heinemann,1919
On the Road,Jack Kerouac,ABP Group,1973
The Secret Life of Bees,Sue Monk Kidd,Caister Academic Press UK,1996
The Help,Kathryn Stockett,Cambridge University Press UK,1907
Charlotte's Web,E. B. White,Candlewick Press,1964
Atonement,Ian McEwan,Candy Jar Books,1997
Jonathan Strange & Mr. Norrell: A Novel,Susanna Clarke,Canongate Books,2000
The Poisonwood Bible,Barbara Kingsolver,"Carcanet Press,1932
The Secret Garden,Frances Hodgson Burnett,Carlton Books UK,1902
The Shadow of the Wind,Carlos Ruiz Zafón,Carlton Publishing Group UK,1924
Love in The Time of Cholera,Gabriel Garcia Marquez,Carnegie Mellon University Press,1973
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,Casemate Publishers,1989
The Old Man and The Sea,Ernest Hemingway,Cassava Republic Press,1979
The Brothers Karamazov,Fyodor Dostoevsky,Cassell,1900
The Bell Jar,Sylvia Plath,Cengage Learning,1925
Neverwhere,Neil Gaiman,Central European University Press,1909
A Clash of Kings,George R. R. Martin,Century,1945
Treasure Island,Robert Louis Stevenson,Chambers Harrap,1903
Siddhartha,Hermann Hesse,Charles Scribner's Sons,1996
The Pillars of the Earth,Ken Follett,Chatto and Windus,1922
Persuasion,Jane Austen,Chick Publications,1975
The Adventures of Tom Sawyer,Mark Twain,Chronicle Books,2003
Don Quixote,Miguel de Cervantes Saavedra,Churchill Livingstone,1991
War and Peace,Leo Tolstoy,Cisco Press,1916
A Clockwork Orange,Anthony Burgess,City Lights Publishers,1913
Romeo and Juliet,William Shakespeare,Cloverdale Corporation,1903
The Subtle Knife,Philip Pullman,Cold Spring Harbor Laboratory Press,1928
Anne Frank: The Diary of a Young Girl,Anne Frank,Collector's Guide Publishing,1991
Madame Bovary,Gustave Flaubert,Collins,1953
The Girl Who Kicked The Hornet's Nest,Stieg Larsson,Columbia University Press,1951
"Guns, Germs, and Steel: The Fates of Human Societies",1999
The Kite Runner,Khaled Hosseini,Constable & Co Ltd,1927
Night,Elie Wiesel,Continuum International Publishing Group,1910
One Flew Over the Cuckoo's Nest,Ken Kesey,Copper Canyon Press,2007
The Magician's Nephew,C. S. Lewis,Cork University Press,1935
The Amber Spyglass,Philip Pullman,Cornell University Press,2005
Watership Down,Richard Adams,Coronet Books,1964
Me Talk Pretty One Day,David Sedaris,Craftsman Book Company,1919
Angela's Ashes,Frank McCourt,CRC Press,1938
"Eat, Pray, Love",1962
The Historian,Elizabeth Kostova,Crocker & Brewster,1982
Interview with the Vampire,Anne Rice,Crown Publishing Group,1969
Atlas Shrugged,Ayn Rand,Jaypee Brothers,1950
The Unbearable Lightness of Being,Milan Kundera,D. Appleton & Company,1970
Ulysses,James Joyce,D. Reidel,1946
Macbeth,William Shakespeare,Da Capo Press,1902
Neuromancer,William Gibson,Daedalus Publishing,1984
A Short History of Nearly Everything,Bill Bryson,Dalkey Archive Press,1940
My Sister's Keeper,Jodi Picoult,Darakwon Press,2014
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,David & Charles,1994
The Sun Also Rises,Ernest Hemingway,DAW Books,1991
Gone With the Wind,Margaret Mitchell,Dedalus Books,2000
Cat's Cradle,"Kurt Vonnegut, Jr.",1981
The Princess Bride,William Goldman,Delacorte Press,1953
Mere Christianity,C. S. Lewis,Deseret Book,1916
Les Misérables,Victor Hugo,Dick and Fitzgerald,2017
A Storm Of Swords,George R. R. Martin,Directmedia Publishing,1921
The Lightning Thief,Rick Riordan,DNA Publications,1998
In Cold Blood,Truman Capote,Dobson Books,1914
Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,"Dodd,1988
Holes,Louis Sachar,Dorchester Publishing,1991
Alice's Adventures in Wonderland,Lewis Carroll,Dorling Kindersley,1988
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Doubleday,1913
A Feast For Crows,George R. R. Martin,Douglas & McIntyre,1911
Heart of Darkness,Joseph Conrad,Dove Medical Press,1990
A Confederacy of Dunces,John Kennedy Toole,Dover Publications,1940
The Count of Monte Cristo,Alexandre Dumas père,Dundurn Group,1991
Stardust,Neil Gaiman,Gita Press,1954
Prince Caspian,C. S. Lewis,E. P. Dutton,1951
Beowulf,Beowulf Poet,Earthscan,1942
Deception Point,Dan Brown,ECW Press,1934
A Farewell to Arms,Ernest Hemingway,Eel Pie Publishing,1938
Anansi Boys,Neil Gaiman,Eerdmans Publishing,1953
The Inferno,Dante Alighieri,Elliot Stock,1994
East of Eden,John Steinbeck,Ellora's Cave,1979
Digital Fortress,Dan Brown,Elsevier,1977
Mansfield Park,Jane Austen,Emerald Group Publishing,1936
A Portrait of the Artist as a Young Man,James Joyce,Etruscan Press,1935
Never Let Me Go,Kazuo Ishiguro,Europa Press,1930
Anne of Green Gables,L. M. Montgomery,Everyman's Library,1934
The Voyage of the Dawn Treader,C. S. Lewis,Ewha Womans University Press,1967
Outlander,Diana Gabaldon,Exact Change,1979
Beloved,Toni Morrison,Express Publishing,1939
The Horse and His Boy,C. S. Lewis,Tata Publishers,1965
Oliver Twist,Charles Dickens,Faber and Faber,1950
Robinson Crusoe,Daniel Defoe,FabJob,1964
The Colour of Magic,Terry Pratchett,Fairview Press,1944
Where the Wild Things Are,Maurice Sendak,"Farrar,1914
Eldest,Christopher Paolini,Fearless Books,1968
The Fountainhead,Ayn Rand,Felony & Mayhem Press,2000
The Prince,Niccolò Machiavelli,Firebrand Books,1934
The Canterbury Tales,Geoffrey Chaucer,Flame Tree Publishing,1906
Gulliver's Travels,Jonathan Swift,Focal Press,1985
Snow Crash,Neal Stephenson,Folio Society,1916
Charlie and the Chocolate Factory,Roald Dahl,Forum Media Group,1907
The Gunslinger,Stephen King,Four Courts Press,1904
"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",1928
The Amazing Adventures of Kavalier & Clay,Michael Chabon,"Frederick Fell Publishers,1966
The Aeneid,Virgil,Frederick Warne & Co,1994
The Elements of Style,William Jr. Strunk,Free Press,1959
The Shining,Stephen King,Fulcrum Press,1953
Northanger Abbey,Jane Austen,Funk & Wagnalls,1973
Little Women,Louisa May Alcott,Indian Books Center,1914
Fight Club,Chuck Palahniuk,G. P. Putnam's Sons,1990
The Graveyard Book,Neil Gaiman,G-Unit Books,1929
The Glass Castle: A Memoir,Jeannette Walls,Gaspereau Press,2012
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",1948
The God of Small Things,Arundhati Roy,Gefen Publishing House,2011
Candide,Voltaire,George H. Doran Company,2015
The Lost Symbol,Dan Brown,George Newnes,1964
A Prayer for Owen Meany,John Irving,George Routledge & Sons,2002
The Stand: The Complete and Uncut Edition,Stephen King,Godwit Press,1985
The Silver Chair,C. S. Lewis,Golden Cockerel Press,2004
A Christmas Carol,Charles Dickens,The Good Book Company (UK),2018
The Republic,Plato,Good News Publishers,1963
The Name of the Rose,Umberto Eco,Goops Unlimited,1913
A Brief History of Time: From the Big Bang to Black Holes,Stephen Hawking,Goose Lane Editions,1925
Mrs. Dalloway,Virginia Woolf,Grafton,1970
The Trial,Franz Kafka,Graywolf Press,1923
Watchmen,Alan Moore,Greenery Press,1945
David Copperfield,Charles Dickens,Greenleaf Book Group,1937
Coraline,Neil Gaiman,Greenleaf Publishing Ltd,1960
The Ultimate Hitchhiker's Guide,Douglas Adams,Greenwillow Books,2019
The Memory Keeper's Daughter,Kim Edwards,Greenwood Publishing Group,1963
The Three Musketeers,Alexandre Dumas,Gregg Press,1996
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,Grosset & Dunlap,1950
The Five People You Meet in Heaven,Mitch Albom,Grove Press / Atlantic Monthly Press,1924
The Last Battle,C. S. Lewis,Prakashan,1913
Sophie's World,Jostein Gaarder,Hachette Book Group USA,1965
Girl with a Pearl Earring,Tracy Chevalier,Hackett Publishing Company,1947
Bridget Jones's Diary,Helen Fielding,Hamish Hamilton,1929
Jurassic Park,Michael Crichton,Happy House,1901
Foundation,Isaac Asimov,Harcourt Assessment,1988
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,Harcourt Trade Publishers,1918
Tess of the d'Urbervilles,Thomas Hardy,Harlequin Enterprises Ltd,1944
Dubliners,James Joyce,Harper & Brothers,1946
The Wind in the Willows,Kenneth Grahame,Harper & Row,2012
The Restaurant at the End of the Universe,Douglas Adams,HarperCollins Publishers,1931
Cryptonomicon,Neal Stephenson,HarperPrism,1995
Foucault's Pendulum,Umberto Eco,HarperTrophy,1907
The Fault in Our Stars,John Green,"Harry N. Abrams,1901
The Art of War,Sun Tzu,Harvard University Press,1935
Artemis Fowl,Eoin Colfer,Harvest House,1990
The Red Tent,Anita Diamant,Harvill Press at Random House,1937
The Confessions,Augustine,Hawthorne Books,2019
The Master and Margarita,Mikhail Bulgakov,Hay House,1931
Things Fall Apart,Chinua Achebe,Haynes Manuals (UK),1906
The Thirteenth Tale,Diane Setterfield,Heinemann,1984
The Wind-Up Bird Chronicle,Haruki Murakami,Herbert Jenkins,1978
The Corrections,Jonathan Franzen,Heyday Books,1948
The Tales of Beedle the Bard,J. K. Rowling,HMSO,2012
Perfume: The Story of a Murderer,Patrick Süskind,Hodder & Stoughton,1997
Rebecca,Daphne du Maurier,Hodder Headline,2008
The Perks of Being a Wallflower,Stephen Chbosky,Hogarth Press,1976
The Color Purple,Alice Walker,Holland Park Press,1965
A Heartbreaking Work of Staggering Genius,Dave Eggers,Holt McDougal,1954
The Bad Beginning,Lemony Snicket,Hoover Institution Press,2015
The Joy Luck Club,Amy Tan,Horizon Scientific Press (UK),2003
For Whom the Bell Tolls,Ernest Hemingway,Houghton Mifflin,1928
It,Stephen King,House of Anansi Press,1995
The God Delusion,Richard Dawkins,The House of Murky Depths (UK),1985
A Midsummer Night's Dream,William Shakespeare,Howell-North Books,1952
Divergent,Veronica Roth,Huffington Post,1917
The Wonderful Wizard of Oz,L. Frank Baum,Humana Press,1907
Matilda,Roald Dahl,Hutchinson,1907
Kafka on the Shore,Haruki Murakami,Hyperion,1954
The Divine Comedy,Dante Alighieri,Balbharati,1973
The Host,Stephenie Meyer,Ian Allan Publishing,1932
Extremely Loud and Incredibly Close,Jonathan Safran Foer,IGI Global[1],1963
The Mists of Avalon,Marion Zimmer Bradley,Ignatius Press,1924
The Blind Assassin,Margaret Atwood,Imperial War Museum,1903
The Plague,Albert Camus,Indiana University Press,1978
Bridge to Terabithia,Katherine Paterson,Informa Healthcare,2007
The Eyre Affair,Jasper Fforde,Information Age Publishing,1993
The World According to Garp,John Irving,Insomniac Press Canada,1944
Breakfast of Champions,"Kurt Vonnegut, Jr.",1931
The Other Boleyn Girl,Philippa Gregory,International Universities Press,1996
To the Lighthouse,Virginia Woolf,Inter-Varsity Press,1995
The Secret History,Donna Tartt,InterVarsity Press,1930
Cloud Atlas: A Novel,David Mitchell,Ishi Press,1985
Oryx and Crake,Margaret Atwood,Islamic Texts Society,1947
Where the Sidewalk Ends: Poems and Drawings,Shel Silverstein,Island Press,1959
Into the Wild,Jon Krakauer,Ivyspring International Publisher,1957
High Fidelity,Nick Hornby,Penguin Books India,1997
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,J. M. Dent,1986
Running With Scissors,Augusten Burroughs,Jaico Publishing House,1973
"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss,1931
The Outsiders,S. E. Hinton,John Lane,1911
On Writing,Stephen King,John Murray,1952
Do Androids Dream of Electric Sheep?,Philip K. Dick,John Wiley & Sons (Wiley),1912
Gone Girl,Gillian Flynn,Jones and Bartlett Learning,1908
Inkheart,Cornelia Funke,Wiley,1979
Their Eyes Were Watching God,Zora Neale Hurston,Karadi Tales,1938
All Quiet on the Western Front,Erich Maria Remarque,Kensington Books,1981
Dead Until Dark,Charlaine Harris,Kessinger Publishing,1984
The Sound and the Fury,William Faulkner,Kluwer Academic Publishers,1982
Tao Te Ching,Lao Tzu,Kodansha,1989
Speaker for the Dead,Orson Scott Card,Kogan Page,1986
Middlemarch,George Eliot,Koren Publishers Jerusalem,1968
The Eye of the World,Robert Jordan,KTAV Publishing House,1929
Everything Is Illuminated,Jonathan Safran Foer,Kumarian Press,1981
Franny and Zooey,J. D. Salinger,S Chand Group,1977
The Very Hungry Caterpillar,Eric Carle,Ladybird Books,1946
And Then There Were None,Agatha Christie,Leaf Books,1990
The Time Machine,H. G. Wells,Leafwood Publishers,2010
James and the Giant Peach,Roald Dahl,Left Book Club,2007
"Life, the Universe and Everything",Douglas Adams,1952
The Sea of Monsters,Rick Riordan,Legend Press,1902
City of Bones,Cassandra Clare,Lethe Press,1955
The Pilgrim's Progress,John Bunyan,Libertas Academica,1964
Green Eggs and Ham,Dr. Seuss,Liberty Fund,1934
The Once and Future King,T. H. White,Library of America,2010
Dress Your Family in Corduroy and Denim,David Sedaris,Lion Hudson,1929
The Martian Chronicles,Ray Bradbury,Lion Publishing,1984
The Idiot,Fyodor Dostoevsky,Lionel Leventhal,1955
The War of the Worlds,H. G. Wells,Lippincott Williams & Wilkins,1960
Norwegian Wood,Haruki Murakami,"Little,1978
Looking for Alaska,John Green,Liverpool University Press,1986
Mort,Terry Pratchett,Llewellyn Worldwide,1991
The 7 Habits of Highly Effective People,Stephen R. Covey,Longman,1932
The Screwtape Letters (with Screwtape Proposes a Toast),C. S. Lewis,LPI Media,2010
A Tree Grows in Brooklyn,Betty Smith,Lutterworth Press,1951
Othello,William Shakespeare,Hachette India,1914
Invisible Man,Ralph Ellison,Macmillan Publishers,1943
Fear and Loathing in Las Vegas,Hunter S. Thompson,Mainstream Publishing,1913
The Drawing Of The Three,Stephen King,Manchester University Press,1962
Little Women,Louisa May Alcott,Mandrake of Oxford,1978
The Notebook,Nicholas Sparks,Mandrake Press,1921
His Dark Materials,Philip Pullman,Manning Publications,2009
The BFG,Roald Dahl,Manor House Publishing,1978
Number the Stars,Lois Lowry,Mapin Publishing,1954
The Giving Tree,Shel Silverstein,Marion Boyars Publishers,1948
The Phantom Tollbooth,Norton Juster,Mark Batty Publisher,1953
Island of the Blue Dolphins,Scott O'Dell,Marshall Cavendish,1957
The No. 1 Ladiesʼ Detective Agency,Alexander McCall Smith,Marshall Pickering,1985
The Shipping News,E. Annie Proulx,Martinus Nijhoff Publishers,1985
The Cat in the Hat,Dr. Seuss,Matthias Media,1964
The Call of the Wild,Jack London,McClelland and Stewart,1974
"So Long, and Thanks for All the Fish",Douglas Adams,1951
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,McGraw-Hill Education,1955
Dune Messiah,Frank Herbert,McGraw Hill Financial,1934
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Medknow Publications,1918
The Light Fantastic,Terry Pratchett,Melbourne University Publishing,1972
She's Come Undone,Wally Lamb,Mercier Press,1992
The Vampire Lestat,Anne Rice,Methuen Publishing,1960
The Remains of the Day,Kazuo Ishiguro,Michael Joseph,1911
Cold Mountain,Charles Frazier,Michael O'Mara Books,1996
Fast Food Nation,Eric Schlosser,Michigan State University Press,1949
Naked,David Sedaris,Microsoft Press,2010
Salem's Lot,Stephen King,The Miegunyah Press,2006
The World is Flat: A Brief History of the Twenty-First Century,Thomas L. Friedman,Miles Kelly Publishing,1959
Dirk Gently's Holistic Detective Agency,Douglas Adams,Mills & Boon,1944
Reading Lolita in Tehran,Azar Nafisi,Minerva Press,2017
As I Lay Dying,William Faulkner,Mirage Publishing (UK),1914
The Reader,Bernhard Schlink,MIT Press,2000
White Teeth,Zadie Smith,Mkuki na Nyota,1995
Vanity Fair,William Makepeace Thackeray,Modern Library,2014
Peter Pan,J. M. Barrie,Morgan James Publishing,2019
Outliers: The Story of Success,Malcolm Gladwell,Mother Tongue Publishing,2000
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,Mycroft & Moran,1971
Midnight's Children,Salman Rushdie,Myriad Editions,2010
Uncle Tom's Cabin,Harriet Beecher Stowe,Naiad Press,1954
The Name of the Wind,Patrick Rothfuss,Nauka,1966
The Titan's Curse,Rick Riordan,NavPress,2007
Bel Canto,Ann Patchett,New American Library,1931
Speak,Laurie Halse Anderson,New Beacon Books,1944
World War Z: An Oral History of the Zombie War,Max Brooks,New Directions Publishing,2016
Possession: A Romance,A. S. Byatt,New English Library,1926
Equal Rites,Terry Pratchett,New Holland Publishers,2000
"20,000 Leagues Under the Sea",Jules Verne,1960
Midnight in the Garden of Good and Evil,John Berendt,Newnes,1928
A Wizard of Earthsea,Ursula K. Le Guin,No Starch Press,1919
"Gödel, Escher, Bach: An Eternal Golden Braid",1988
Choke,Chuck Palahniuk,Noontide Press,1947
The Crucible,Arthur Miller,Northwestern University Press,1975
Snow Falling on Cedars: A Novel,David Guterson,NRC Research Press,1908
Goodnight Moon,Margaret Wise Brown,NYRB Classics,1964
The House of the Spirits,Isabel Allende,Oberon Books,1907
Guards! Guards!,Terry Pratchett,Open Court Publishing Company,1948
A People's History of the United States,Howard Zinn,Open University Press,1938
The Hours,Michael Cunningham,Orchard Books,1929
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,O'Reilly Media,1963
The Good Earth,Pearl S. Buck,Orion Books,1953
King Lear,William Shakespeare,Orion Publishing Group,1954
American Psycho,Bret Easton Ellis,Osprey Publishing,1981
The Shack,William P. Young,Other Press,1923
"I, Robot",Isaac Asimov,1963
Timeline,Michael Crichton,Oxford University Press (UK),1972
Uglies,Scott Westerfeld,Packt Publishing,2019
Storm Front,Jim Butcher,Palgrave Macmillan,1925
Hatchet,Gary Paulsen,Pan Books,2019
Flowers for Algernon,Daniel Keyes,Pantheon Books at Random House,1950
Lady Chatterley's Lover,D. H. Lawrence,Papadakis Publisher,1912
The Waste Lands,Stephen King,Parachute Publishing,1906
Brisingr,Christopher Paolini,Parragon,1914
House of Leaves,Mark Z. Danielewski,Pathfinder Press,2012
The Namesake,Jhumpa Lahiri,Paulist Press,1925
Around the World in Eighty Days,Jules Verne,Pavilion Books,1996
The Battle Of The Labyrinth,Rick Riordan,Peace Hill Press,1921
The Virgin Suicides,Jeffrey Eugenides,Pecan Grove Press,1971
Misery,Stephen King,Pen and Sword Books,1940
Steppenwolf,Hermann Hesse,Penguin Books UK,1960
The Age of Innocence,Edith Wharton,Penguin Random House UK,1906
Room,Emma Donoghue,Penguin Putnam Inc. (USA),2018
My �?ntonia,Willa Cather,Penn State University Press,1991
The Left Hand of Darkness,Ursula K. Le Guin,Persephone Books,1981
Bleak House,Charles Dickens,Perseus Books Group,1985
Antigone / Oedipus at Colonus / Oedipus Rex,Sophocles,Peter Lang,1993
The Long Dark Tea-Time of the Soul,Douglas Adams,Peter Owen Publishers,1974
The Clan of the Cave Bear,Jean M. Auel,Phaidon Press,1986
Black Beauty,Anna Sewell,Philosophy Documentation Center,1913
A Dance With Dragons,George R. R. Martin,Philtrum Press,1951
The Cider House Rules,John Irving,Picador UK,1920
The Brief Wondrous Life of Oscar Wao,Junot Diaz,Pimlico Books at Random House,1990
The Devil Wears Prada,Lauren Weisberger,Playwrights Canada Press,1920
On the Origin of Species,Charles Darwin,Pluto Press,1986
The Communist Manifesto,Karl Marx,Point Blank,1959
Children of Dune,Frank Herbert,Poisoned Pen Press,1939
The Things They Carried,Tim O'Brien,Policy Press,1939
Carrie,Stephen King,Polity,2001
The Hound of the Baskervilles,Sir Arthur Conan Doyle,Practical Action,1914
The Great Hunt,Robert Jordan,Prentice Hall,1913
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E. L. Konigsburg,Prime Books,2005
The Prophet,Kahlil Gibran,Princeton University Press,1975
Wizard And Glass,Stephen King,Profile Books,1986
The Purpose Driven Life,Rick Warren,Progress Publishers,1979
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,Prometheus Books,1953
Nine Stories,J. D. Salinger,Puffin Books,1907
Mostly Harmless,Douglas Adams,Que Publishing,1958
A Little Princess,Frances Hodgson Burnett,Quebecor,1941
John Adams,David McCullough,Quirk Books,1962
Dragonfly in Amber,Diana Gabaldon,Random House,1937
One For The Money,Janet Evanovich,Reed Elsevier,1901
A Separate Peace,John Knowles,Reed Publishing - previously A.H. & A.W. Reed,1907
Blindness,José Saramago,Remington & Co,1968
Tender is the Night,F. Scott Fitzgerald,Riverhead Books,2011
Waiting for Godot,Samuel Beckett,Robert Hale Publishing,1943
2001: A Space Odyssey,Arthur C. Clarke,Robson Books,2011
Snow Flower and the Secret Fan: A Novel,Lisa See,Rock Scorpion Books,1937
The Reptile Room,Lemony Snicket,Rodopi,1917
Wyrd Sisters,Terry Pratchett,Routledge Kegan Paul,1904
Foundation and Empire,Isaac Asimov,Rowman & Littlefield,1962
A Passage to India,E. M. Forster,Royal Society of Chemistry,2019
Walden,Henry David Thoreau,Russell Square Publishing,1991
One Day in the Life of Ivan Denisovich,Alexander Solzhenitsyn,SAGE Publications,1987
Interpreter of Maladies,Jhumpa Lahiri,St. Martin's Press,1988
The Night Circus,Erin Morgenstern,Salt Publishing,1908
I Know Why the Caged Bird Sings,Maya Angelou,Sams Publishing,1917
White Oleander,Janet Fitch,Samuel French theater/script publishers,1956
Living Dead In Dallas,Charlaine Harris,Schocken Books,1907
Like Water for Chocolate,Laura Esquivel,Scholastic Press,1968
The Witches,Roald Dahl,Scribner (UK),2016
Mythology,Edith Hamilton,Seagull Books,1975
A Time to Kill,John Grisham,Secker & Warburg,1947
The Boy in the Striped Pajamas,John Boyne,Serif,1962
The Queen of the Damned (Vampire Chronicles),Anne Rice,Shambhala Publications,2002
Xenocide,Orson Scott Card,Shire Books,1916
Pet Sematary,Stephen King,Shoemaker & Hoard Publishers,1955
Brideshead Revisited,Evelyn Waugh,Shuter & Shooter Publishers,1924
The Woman In White,Wilkie Collins,Sidgwick & Jackson,1981
Ender's Shadow,Orson Scott Card,Signet Books,1917
The Diamond Age,Neal Stephenson,Simon & Schuster,1922
If on a Winter's Night a Traveler,Italo Calvino,Sinclair-Stevenson Ltd,1986
Little House in the Big Woods,Laura Ingalls Wilder,Sounds True,2001
The Tempest,William Shakespeare,Sourcebooks,1966
Infinite Jest,David Foster Wallace,South End Press,1948
The Hunchback of Notre Dame,Victor Hugo,SPCK,1945
Small Gods,Terry Pratchett,Spinsters Ink,1922
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,Springer Science ,1943
The Firm,John Grisham,Stanford University Press,1983
Miss Peregrine's Home For Peculiar Children,Ransom Riggs,The Stationery Office,1955
Thus Spoke Zarathustra,Friedrich Nietzsche,Stein and Day,1911
